GeneID	S_1a	S_1b	S_1c	S_2a	S_2b	S_2c	S_3a	S_3b	S_3c
ENSG00000279928	0	2	0	6	0	2	4	0	10
ENSG00000228037	24	31	20	11	10	12	20	14	27
ENSG00000142611	27	36	37	30	30	18	8	25	28
ENSG00000284616	0	0	0	0	0	0	0	0	0
ENSG00000157911	700	855	840	610	792	457	774	765	520
ENSG00000260972	0	0	0	0	0	0	0	0	0
ENSG00000224340	0	0	0	0	0	0	0	0	0
ENSG00000226374	0	0	0	0	0	0	0	0	0
ENSG00000229280	0	0	0	0	0	0	0	0	0
ENSG00000142655	1620	1769	1517	1261	1625	1040	1664	1655	1280
ENSG00000232596	0	0	0	0	0	0	0	0	0
ENSG00000235054	0	0	0	0	0	0	0	0	0
ENSG00000231510	0	0	0	0	0	0	0	0	0
ENSG00000149527	1006	1143	1251	1163	1360	850	1023	856	662
ENSG00000284739	0	0	0	0	0	0	0	0	0
ENSG00000171621	3577	3648	3334	2852	2989	2629	3756	3392	2703
ENSG00000272235	0	0	0	0	0	0	0	0	0
ENSG00000284694	0	0	0	0	0	0	0	0	0
ENSG00000224387	0	0	0	0	0	0	0	0	0
ENSG00000142583	16	17	7	10	13	18	12	19	6
ENSG00000284674	0	0	0	0	0	0	0	0	0
ENSG00000224338	0	0	0	0	0	0	0	0	0
ENSG00000287727	2	5	3	4	4	2	2	0	4
ENSG00000286448	0	0	0	0	1	0	0	3	2
ENSG00000284703	0	0	0	0	0	0	0	0	0
ENSG00000226457	0	0	0	1	0	0	0	0	0
ENSG00000173614	705	809	723	743	721	594	864	705	677
ENSG00000215720	0	0	0	0	0	0	0	2	0
ENSG00000241326	0	0	0	0	0	0	0	0	0
ENSG00000233623	0	1	2	1	6	0	0	0	0
ENSG00000204624	38	46	37	51	42	44	43	47	35
ENSG00000142606	117	77	90	85	86	51	90	105	78
ENSG00000225931	0	0	1	0	0	2	0	0	0
ENSG00000171729	1715	1525	1433	1429	1593	1267	1812	1750	1367
ENSG00000279457	173	189	187	185	186	147	251	189	126
ENSG00000229393	0	0	0	0	0	0	0	0	6
ENSG00000037637	562	654	636	522	583	446	538	565	430
ENSG00000287586	0	0	0	0	0	0	0	0	0
ENSG00000159423	2017	2220	2400	1749	2214	1460	1828	1594	1238
ENSG00000227169	0	0	0	0	0	0	0	0	0
ENSG00000283356	0	0	0	0	0	0	0	0	0
ENSG00000157916	5061	5225	4778	4512	5102	3858	5376	5079	4099
ENSG00000157881	1202	1272	1177	1056	1124	858	1239	1188	937
ENSG00000238290	8	6	4	5	6	13	5	0	4
ENSG00000225387	0	0	0	0	0	0	0	0	0
ENSG00000048707	8138	8542	8095	6911	8261	6531	9419	9479	7651
ENSG00000225196	0	0	0	0	0	0	0	0	0
ENSG00000162444	10	4	15	12	12	10	12	8	12
ENSG00000279625	0	0	0	0	0	0	0	0	0
ENSG00000180758	1022	1084	1178	1034	1215	881	1297	1082	846
