miRNAName	138011N	138011T	138228N	138228T	138239N	138239T
hsa-miR-1272	0	0	0	5	1	39
hsa-miR-4684-5p	0	0	0	2	0	0
hsa-miR-4647	2	6	19	0	4	7
hsa-miR-5583-3p	0	1	1	0	0	0
hsa-miR-874-3p	763	660	431	509	434	902
hsa-miR-4754	2	0	2	0	2	14
hsa-miR-6862-5p	0	5	5	5	0	5
hsa-miR-6847-5p	4	17	3	7	2	8
hsa-miR-3140-5p	2	7	5	1	2	0
hsa-miR-4636	4	13	10	8	6	6
hsa-miR-3194-3p	16	0	7	8	6	10
hsa-miR-4774-5p	1	0	1	0	2	5
hsa-miR-6831-5p	0	1	1	1	2	1
hsa-miR-3689e	2	0	1	0	0	0
hsa-miR-758-3p	275	56	186	521	229	68
hsa-miR-654-5p	94	34	48	497	74	90
hsa-miR-578	2	1	3	5	6	2
hsa-miR-548e-3p	235	470	281	388	274	561
hsa-miR-4698	1	4	2	5	0	0
hsa-miR-7108-5p	37	9	13	13	12	14
hsa-miR-500a-5p	43	55	12	92	41	36
hsa-miR-4633-5p	1	4	2	3	1	0
hsa-miR-1286	1	6	13	10	6	30
hsa-miR-4794	0	1	0	0	0	4
hsa-miR-4775	12	14	8	1	17	1
hsa-miR-9500	0	4	4	3	1	3
hsa-miR-1234-3p	6	6	0	2	8	8
hsa-miR-450a-2-3p	58	17	28	30	58	14
hsa-miR-3677-3p	0	8	3	13	4	10
hsa-miR-941	885	2255	825	3011	676	2893
hsa-miR-107	3671	8126	3330	2140	3561	2088
hsa-miR-4693-3p	5	6	4	4	1	4
hsa-miR-4288	0	2	1	4	2	11
hsa-miR-4287	18	14	15	11	10	22
hsa-miR-3186-3p	3	3	2	2	0	5
hsa-miR-6068	2	2	2	6	1	1
hsa-miR-6767-5p	3	3	1	0	0	2
hsa-miR-3064-3p	6	0	4	12	0	0
hsa-miR-6505-3p	2	0	1	6	3	9
hsa-miR-1260b	1946	1999	1820	4020	2178	3346
hsa-miR-652-3p	1033	1149	457	3430	651	1601
hsa-let-7f-1-3p	116	41	100	241	112	28
hsa-miR-3616-5p	0	2	6	2	2	2
hsa-miR-3156-3p	2	0	0	4	0	4
hsa-miR-548as-5p	1	0	2	4	0	3
hsa-miR-1227-3p	0	1	2	0	0	0
hsa-miR-6720-5p	5	0	21	4	8	5
hsa-miR-3145-5p	3	20	6	7	9	8
hsa-miR-3622b-3p	2	1	3	0	0	9
hsa-miR-4777-3p	2	2	1	3	6	4
hsa-miR-3163	1	1	0	6	6	5
hsa-miR-513a-5p	2	1	11	6	0	1
hsa-miR-1276	4	6	0	28	1	5
hsa-miR-1270	6	15	2	41	6	27
hsa-miR-633	0	0	4	1	3	2
hsa-miR-98-5p	2114	1898	1597	11808	1719	2621
hsa-miR-5194	1	0	1	4	0	6
hsa-miR-4460	0	6	2	0	0	0
hsa-miR-6814-3p	0	0	1	1	3	4
hsa-miR-331-5p	152	182	109	267	114	119
hsa-miR-6769a-5p	0	1	0	2	0	1
hsa-miR-3940-3p	24	20	24	41	12	20
hsa-miR-4793-5p	5	5	6	5	2	11
hsa-miR-3591-3p	1474976	1469750	2788104	69380	1984005	324923
hsa-miR-6766-3p	4	0	2	3	0	0
hsa-miR-302d-3p	2	2	2	0	0	1
hsa-miR-592	130	329	151	966	75	94
hsa-miR-6809-3p	1	0	0	4	2	0
hsa-miR-590-3p	360	362	190	300	336	77
hsa-miR-7-1-3p	122	53	44	88	75	37
hsa-miR-3661	2	7	2	13	1	13
hsa-miR-671-3p	195	342	205	620	137	281
hsa-miR-539-3p	200	57	109	369	170	29
hsa-miR-548l	4	14	5	7	0	0
hsa-miR-590-5p	14	19	10	22	18	38
hsa-miR-519b-5p	0	17	0	0	0	0
hsa-miR-6819-5p	2	2	0	4	2	9
hsa-miR-4276	0	1	2	2	0	5
hsa-miR-6732-3p	0	4	0	7	0	1
hsa-miR-548g-5p	19	40	59	10	30	14
hsa-miR-3189-5p	1	0	1	0	6	3
hsa-miR-4651	0	4	4	0	1	6
hsa-miR-504-3p	3	2	3	4	0	3
hsa-miR-3190-5p	3	2	12	8	3	7
hsa-miR-2277-3p	9	31	20	37	11	32
hsa-miR-6502-5p	7	5	7	13	5	1
hsa-miR-32-5p	1672	2467	1424	3404	1480	1240
hsa-miR-656-3p	311	64	114	240	249	20
hsa-miR-16-5p	8688	9776	4738	12854	6256	5491
hsa-miR-1285-3p	101	173	128	394	113	476
hsa-miR-4762-5p	1	0	0	1	2	1
